,user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address
6800,394343,2015-01-04 17:46:05,2015-01-24 08:33:03,44,EBHHSXAVKFRIC,SEO,Chrome,M,37,43844245.4870386
27091,390699,2015-01-28 21:15:55,2015-05-07 23:03:16,47,THVFXCQQDVHIY,Ads,Chrome,F,32,782650414.83708
39210,200223,2015-02-02 23:35:29,2015-04-30 19:46:41,40,CKQBCUZYWXFGV,Direct,FireFox,M,37,3549820568.4421
112239,47381,2015-08-12 10:42:31,2015-12-09 07:20:24,49,YZILBJHBRZESX,SEO,IE,M,31,1814601809.6940105
56814,304177,2015-06-19 20:59:56,2015-07-19 21:55:36,46,ZNXDPUWGQHMFW,SEO,Chrome,F,27,3231834932.91235
88499,262506,2015-02-02 01:52:38,2015-04-16 07:38:18,56,SGJHTPDZMAGQY,SEO,Chrome,M,36,2706853437.78987
60838,81514,2015-08-05 08:17:45,2015-09-11 18:44:43,50,CPQYYYBNPHKIX,Ads,Chrome,F,27,2366620328.58178
30481,77510,2015-04-29 15:16:15,2015-07-19 08:28:02,39,KQLYTVOAZBUXD,Direct,Safari,M,28,2662651716.840811
27504,49187,2015-03-09 14:22:35,2015-05-10 13:43:04,33,NICZXFMBUCVNA,Ads,Safari,F,32,836306938.274557
27323,110597,2015-04-27 12:16:14,2015-05-16 19:08:39,30,JMQZIIDRIGVDS,SEO,Chrome,F,24,563969660.775414
142814,65169,2015-04-06 23:52:18,2015-04-12 11:39:28,25,WNSYFHKYGQCGP,Ads,Safari,M,39,1599692811.98701
145425,184328,2015-02-02 15:16:49,2015-05-26 20:38:35,34,BZTKYGIOQREOF,Ads,Chrome,F,31,2475144695.69351
129472,53654,2015-01-16 06:24:06,2015-04-01 01:07:32,20,IUTRSYOOVSZVE,SEO,IE,M,36,2950963595.38858
139893,336349,2015-03-03 02:36:50,2015-03-29 00:15:11,46,SAAIRNZIHUKVG,Direct,Safari,F,46,985548946.792407
26792,250019,2015-03-27 07:39:06,2015-06-06 08:05:02,51,SXIWLESXKDDBW,SEO,Chrome,M,47,2224899096.58042
9607,170977,2015-02-04 10:59:25,2015-05-18 08:47:23,56,RZEKGZMIXDXEE,SEO,IE,M,45,2224541024.42897
66503,65168,2015-01-20 10:54:40,2015-04-20 19:44:40,14,VJKEKZCWVTCTC,SEO,FireFox,M,27,50949508.1506727
13548,280668,2015-04-07 15:17:38,2015-05-22 23:56:59,23,LLDUCXCOQTVWC,SEO,Chrome,M,38,357378530.897798
139584,169568,2015-06-17 14:13:23,2015-07-30 17:31:26,36,ZTRTHNHJSVVAP,Direct,Chrome,F,38,3409076561.51537
83367,48294,2015-02-21 07:43:45,2015-03-26 11:21:14,40,XHDBBMVRWCKWL,SEO,IE,M,32,2163321388.50862
135805,299714,2015-03-06 17:43:33,2015-03-07 22:23:47,23,BJJIZIYTRLGSA,Ads,FireFox,F,29,3516230788.30112
32387,257201,2015-01-31 05:22:15,2015-01-31 23:23:11,59,IVOZOOJDTIADX,Direct,IE,M,39,1235811895.7070599
122038,361043,2015-05-28 12:17:41,2015-08-25 00:42:29,38,IDDDMUIIUVRDK,Ads,IE,F,31,2297986267.6803303
84812,116056,2015-04-30 08:51:18,2015-07-02 20:40:54,55,EWACKRUYPKWTJ,SEO,Safari,F,43,728634304.550178
139231,9539,2015-02-05 09:19:54,2015-03-20 11:55:59,11,TXXYVHMIIFBPA,SEO,Safari,M,25,4215692536.47905
82254,39425,2015-03-14 22:27:45,2015-03-22 03:40:32,10,QFWUEZJXVUOEV,SEO,Safari,F,22,1689309837.31584
9983,105310,2015-07-19 19:28:04,2015-10-13 00:41:14,23,WWQCTPSKEKUPP,Ads,IE,F,44,4144988204.6464796
32739,246085,2015-06-24 11:26:39,2015-07-11 15:20:14,55,SCMNTQEJZIRTG,Direct,IE,M,39,671246500.281963
61580,96553,2015-01-09 05:01:18,2015-04-01 19:02:06,38,XIFSTVGZHJLNG,SEO,IE,M,41,943142449.2413608
40471,121829,2015-03-28 15:37:30,2015-03-29 17:47:34,31,KBYVNVFAGDJDZ,Ads,Chrome,F,27,1627302008.0321698
20638,287546,2015-05-16 17:12:43,2015-06-15 13:17:37,22,ATHAXTTMNIRSE,SEO,FireFox,M,34,4109345694.567821
20070,345159,2015-06-12 07:47:42,2015-07-17 10:29:02,13,OBSASYOXCYODC,SEO,Chrome,F,35,3461748401.4639697
74233,44171,2015-04-25 00:07:13,2015-06-11 16:14:30,50,DROSEHXXYVUZJ,Ads,Chrome,M,33,2501271818.61136
127972,224400,2015-04-09 11:33:29,2015-06-15 16:23:34,31,IETTBNLHWECEO,Ads,Chrome,M,37,3807635129.273821
46935,200499,2015-04-06 02:26:38,2015-05-01 05:55:15,53,KMVGICFXHZNZG,SEO,IE,F,42,2255024232.74726
31171,31569,2015-03-15 17:57:43,2015-07-09 01:50:06,10,GJKRWKIDGBSNC,SEO,IE,F,27,4195540799.9262795
62744,272619,2015-04-17 13:39:07,2015-07-29 02:06:10,23,UBKADTXBARZEN,Direct,IE,M,43,830179716.273723
24166,73267,2015-04-29 04:57:28,2015-07-21 10:16:13,50,EGKVTNMMEAHWZ,SEO,IE,F,27,2007191579.4733894
145773,16537,2015-08-14 12:10:22,2015-08-24 15:24:09,40,OTAYLXCWJPRRW,Ads,Chrome,M,22,3650854559.33995
112164,352828,2015-02-04 23:49:58,2015-06-03 03:05:14,51,OOBUIMPIYLNNV,SEO,FireFox,F,29,115283279.0778
106678,378719,2015-03-25 10:18:56,2015-04-18 01:43:33,36,RPFBSYTLYYPHL,Direct,Chrome,F,38,2474342960.36313
81362,379043,2015-05-07 08:53:11,2015-06-15 15:59:55,48,XWJICQVQLXQQN,Ads,IE,M,23,4190638282.9099
12184,41033,2015-05-21 04:21:07,2015-08-02 12:04:14,24,VTNAMCEORBWDS,Direct,IE,M,35,4039472071.0490093
68735,86488,2015-04-02 18:10:12,2015-07-06 15:18:14,58,WAMPZZLVXTLZN,SEO,Chrome,M,43,461036991.33031297
109432,215858,2015-07-06 20:35:19,2015-09-05 19:25:13,31,VIBIOZDJETCVT,Ads,IE,F,45,3443272555.38663
99157,349356,2015-07-04 15:14:15,2015-07-30 00:48:27,18,JGJINXEVFQULI,SEO,FireFox,F,31,2289224492.8284197
21149,353797,2015-05-20 13:27:59,2015-07-06 12:06:52,12,LNQBYNWTWYIBD,SEO,FireFox,M,27,162358145.596138
84482,309123,2015-05-24 06:04:35,2015-06-19 16:36:46,68,NUENLRKFZSFFW,SEO,Chrome,F,34,2078377248.19305
85501,327199,2015-05-13 13:07:54,2015-09-05 08:16:00,30,VTAVTIUKSJHXZ,Ads,IE,M,39,230241586.273767
110688,67107,2015-04-04 06:46:01,2015-04-08 03:04:03,30,HAITRCZBVGKEX,SEO,Chrome,M,35,3846534990.84584
102215,242394,2015-04-26 16:50:27,2015-07-30 05:21:17,64,SUYFJNLKCSJAZ,Ads,Safari,F,35,3196550588.71099
35674,265230,2015-07-20 18:23:57,2015-10-16 20:04:08,41,DSDGXOUCXARJQ,Ads,IE,M,23,2819080466.8572197
44914,14429,2015-07-11 06:26:43,2015-09-28 23:52:31,29,DMUSCCJPDRGUO,Ads,FireFox,M,43,4148673830.6689897
99175,64021,2015-01-28 08:04:04,2015-05-23 08:39:25,13,MSBCTPGLXGZEG,Direct,Chrome,M,28,1671542836.35009
62354,15421,2015-07-07 10:57:21,2015-09-15 14:55:53,29,EZXZBGRBGVBHK,SEO,Chrome,F,41,2352817597.95022
99432,307919,2015-04-07 06:37:31,2015-06-22 21:52:16,40,SXRBKKNNRDVMB,Direct,Chrome,M,26,911279160.1979439
91685,269954,2015-08-09 08:22:00,2015-10-06 02:47:42,21,LNWLAZDHDBZBN,SEO,Chrome,M,27,2916839431.46725
66678,326810,2015-01-08 12:58:46,2015-04-08 15:05:53,56,KMKCTFHLPWEHY,Direct,Safari,M,31,3550051933.6491203
93256,229512,2015-02-23 16:24:18,2015-06-20 16:24:17,54,QGFOMMJSBAXNV,SEO,IE,F,37,4101326189.44425
80870,338164,2015-05-11 12:24:05,2015-09-05 01:39:53,39,AFKDCASWNOUKF,Direct,Opera,F,23,1617007242.0955696
56803,102289,2015-01-20 22:43:38,2015-01-21 13:40:43,27,LEPAUWBCVJRIK,Direct,IE,M,34,661794727.568444
71013,374402,2015-06-21 04:30:24,2015-08-11 23:57:21,37,DJJYYKDBSXVYF,Direct,Chrome,F,32,1991803705.68875
139553,343664,2015-07-03 23:46:42,2015-07-21 16:00:31,43,NMJPWMXIFRLXI,Ads,IE,M,35,3572074990.8271
25893,213464,2015-08-06 05:53:35,2015-08-12 14:37:05,67,ZNSCEWDHCGNOD,SEO,Safari,M,29,3856227341.92828
113452,172262,2015-04-01 12:19:44,2015-04-11 04:45:33,32,LXITVQPVXSFBO,SEO,FireFox,F,28,4168775238.68179
128493,104900,2015-01-09 12:38:08,2015-02-20 04:09:52,41,CMOGPSFSRSETC,SEO,IE,M,46,700386619.9484769
124013,271659,2015-08-09 06:13:25,2015-08-15 00:50:56,45,NQVRQSIPOFEHM,SEO,Chrome,F,40,320674483.476155
19592,237609,2015-02-13 16:53:19,2015-05-19 00:49:58,25,QKNFLPWZJYITN,Direct,FireFox,M,21,2471936636.20747
36559,47856,2015-02-19 16:19:18,2015-03-01 12:22:08,49,NINFZUCOXLEHH,Direct,FireFox,M,34,1822543389.66753
63513,165171,2015-01-04 19:56:49,2015-01-04 19:56:50,37,RTUTWSSWRHVHL,Ads,Chrome,M,24,3006431648.067
59435,274635,2015-03-17 18:46:54,2015-06-20 08:48:59,38,ZGQHZUTZYOIPY,Ads,Chrome,M,44,4205981149.54618
76866,16546,2015-05-31 01:13:41,2015-09-22 14:30:49,39,KLTRWNBWKYJMD,Direct,FireFox,M,53,3515746923.91008
118491,336319,2015-03-22 16:43:06,2015-05-26 22:07:38,53,QNGDPKTOBKPKU,SEO,Chrome,F,35,506701870.384152
88678,267541,2015-02-23 01:42:20,2015-04-07 23:02:18,31,EUUSLCGHACGHH,SEO,Chrome,F,27,2309107763.10557
50596,139589,2015-08-03 20:27:47,2015-09-09 07:41:58,55,MROPHHDWFMYDY,SEO,IE,M,25,1588055323.40327
142052,348878,2015-02-17 05:13:15,2015-06-08 18:39:12,32,ZBVBKLBMHNKJT,Ads,Chrome,M,23,446874637.7509151
27425,161842,2015-03-29 02:11:47,2015-03-29 15:52:03,15,RDPORUNLSXXAW,Ads,Safari,M,28,2255141937.56237
101873,116302,2015-05-28 07:48:08,2015-06-07 13:43:41,14,RMZIZWGFVEGOY,Ads,Chrome,F,30,1807644422.09428
139418,234842,2015-02-26 05:31:05,2015-03-03 11:33:53,57,ZDRPZJRGDUBGE,Ads,FireFox,M,29,1469014690.9415698
54008,131930,2015-01-16 07:18:34,2015-03-17 12:14:33,20,ETRFJVRHSDYZD,SEO,Chrome,F,33,2789623017.95962
89249,221199,2015-03-24 03:47:01,2015-05-10 10:00:55,34,BDRZGGREDFZET,SEO,Chrome,M,45,881339918.8625779
108493,314859,2015-08-12 10:58:58,2015-09-06 13:24:49,26,JIFFGSRPJLRRN,Ads,IE,M,32,933267103.009665
137941,149958,2015-05-29 09:18:00,2015-09-01 02:49:32,74,UANZLVAGVYANV,SEO,Safari,F,40,1694707859.8492599
126126,108215,2015-08-15 10:08:10,2015-10-16 10:53:00,40,EWQIFQODTVFHS,SEO,IE,M,41,1589008663.53757
89036,27534,2015-07-20 05:24:55,2015-08-23 12:31:04,32,EPOFTEJSAOCGS,Ads,FireFox,M,36,3773972379.4795
49431,194161,2015-04-08 22:33:34,2015-06-04 17:31:01,60,QJFZZXTAZCWOM,SEO,IE,M,36,883775233.822891
87827,155122,2015-03-13 19:39:20,2015-04-03 14:35:30,45,JQYGMMASFWVVS,SEO,Chrome,M,30,259495701.45082003
122719,287754,2015-01-10 06:23:03,2015-01-10 06:23:04,29,SXOBBRKNDPMPB,SEO,IE,M,31,2479947956.65348
122490,162876,2015-01-12 11:43:40,2015-01-12 11:43:41,57,RGNKMWSCHLGFL,Direct,Chrome,M,32,1288372424.44136
45432,151214,2015-07-14 20:40:14,2015-07-22 22:53:43,44,HVWBCFPGVODQS,Direct,IE,M,23,336542431.475664
106684,146304,2015-06-04 19:17:44,2015-09-09 07:09:43,16,RTITTEFKJUSGX,Direct,Safari,F,38,329243723.414607
105932,342228,2015-01-13 01:53:38,2015-01-13 01:53:39,32,YBQTJATYXWAEX,Direct,Chrome,F,22,3690341606.4609103
13290,251673,2015-01-06 14:33:40,2015-02-19 17:30:56,32,SIRGBVQSBTBCJ,Ads,Chrome,F,28,3048756704.80938
125496,173778,2015-04-22 13:40:05,2015-04-26 01:32:20,46,GUCXVINQOZSSF,Direct,Safari,M,23,645241806.548404
7448,33068,2015-04-10 12:15:21,2015-06-02 15:38:00,58,MLPEPBCWBKCFL,SEO,Chrome,F,24,1056426216.46289
119290,287974,2015-06-27 21:11:50,2015-09-18 03:23:03,42,WUUSGVOSDKGGR,SEO,Chrome,F,36,46169837.01236521
82664,317318,2015-03-11 22:38:39,2015-04-10 15:12:54,15,DGYSQWNVJOOAL,SEO,Chrome,F,37,3354586827.468
36167,335034,2015-01-30 13:06:29,2015-04-04 05:42:13,20,MAPHHXHQGGGCG,Ads,Safari,M,35,1430737109.77763
78941,29856,2015-04-26 19:36:41,2015-05-03 16:10:22,26,ALJFMBIQMXFOJ,Ads,Safari,F,32,1696925924.0784
20345,26458,2015-01-31 18:59:44,2015-02-10 22:09:25,15,EVCRLQZHAQGIV,SEO,FireFox,F,41,2370839586.4207397
106516,15375,2015-07-07 19:28:15,2015-09-19 16:49:38,96,GXDHTGFVEKHUU,Ads,IE,F,31,3869408917.93557
67497,305944,2015-04-14 20:58:01,2015-07-04 16:13:25,42,ZYTRZUQLQARUF,Ads,FireFox,F,36,1049475701.2387199
126175,31467,2015-07-22 23:49:30,2015-07-27 00:35:55,35,YXVQDWOYQWRHP,Direct,Chrome,M,35,600675955.388373
63516,153770,2015-05-13 02:10:06,2015-06-10 10:48:44,32,QIEJKWCCQOTRI,Direct,Safari,M,21,6334219.68885731
23234,213147,2015-04-12 03:10:47,2015-08-01 16:06:15,33,BRYWOZDAQIVFB,Ads,Safari,F,44,3864702496.5598397
12171,242794,2015-04-20 17:58:14,2015-05-22 07:10:30,46,CEIZUNVXMUOLW,Ads,Chrome,F,40,3338743687.3854103
76241,363154,2015-01-11 00:09:28,2015-01-11 00:09:29,34,WWGCFEGOKOPSW,SEO,Safari,F,32,3609644978.90699
20444,315183,2015-06-08 02:55:21,2015-08-14 17:00:29,30,LMEAFSKUJTTZG,Direct,Safari,F,41,1253069689.42243
115207,134580,2015-04-21 13:55:11,2015-06-06 12:05:20,19,BQMMAUUCMBMEV,Ads,Chrome,M,49,2260327355.53896
50332,135063,2015-01-01 18:52:35,2015-01-01 18:52:36,15,YSSKYOSJHPPLJ,SEO,Opera,M,53,2621473820.11095
63151,260822,2015-07-26 09:37:00,2015-10-20 23:08:27,24,RVPYCUDEQERMK,Ads,Safari,M,32,3729135686.8865795
68121,312684,2015-04-29 18:24:37,2015-05-16 13:25:50,57,NJLYQQLXAWZLW,Direct,Chrome,F,48,3848523868.4890094
4755,346175,2015-04-04 11:03:13,2015-04-10 22:36:18,13,RJKOAMQKQEHIA,Ads,Safari,F,37,3310809821.23493
32075,53001,2015-05-17 05:00:48,2015-07-19 05:13:57,18,LSLXAWCOXFZVZ,Direct,Chrome,M,19,842930337.4917178
19314,3150,2015-03-01 20:34:13,2015-03-25 13:07:04,25,VDZOBDIUKNICH,SEO,FireFox,F,18,337416469.55638
115405,91798,2015-05-03 18:34:45,2015-06-15 02:19:43,54,BMZRTNVYMJCNN,Ads,Chrome,F,30,3569559562.24296
80202,287595,2015-05-11 19:24:49,2015-05-13 20:22:04,35,JTCDLLBESBHEW,Ads,FireFox,M,36,3756228253.78061
67611,194004,2015-04-04 09:35:48,2015-06-20 17:53:56,34,VWYNDACIYBEYF,Ads,Chrome,M,42,3468770327.1582108
17163,224013,2015-02-23 08:39:49,2015-06-17 09:35:12,17,NPFAJRYFEDSAF,SEO,IE,M,20,1424793622.6438599
86193,14710,2015-04-12 15:30:14,2015-06-02 10:35:38,37,TDXCPHVLKRPMI,SEO,Safari,F,26,860652865.326092
43316,193960,2015-01-27 11:42:58,2015-03-30 06:47:37,33,ZNVDZECCYZRVT,SEO,FireFox,M,38,4130644949.07562
130778,126441,2015-03-20 11:28:07,2015-05-10 04:25:56,14,AHEAHUENZLUNY,Ads,IE,M,48,3248505673.1648602
74439,182756,2015-02-23 18:46:32,2015-06-09 17:03:01,50,DHQBSNEPRGTYJ,Ads,Safari,F,38,3138961820.07838
139451,57626,2015-01-05 18:33:55,2015-01-05 18:33:56,53,HZRFOSDNHHBMU,Direct,FireFox,M,48,2509792025.96873
137119,185465,2015-02-25 17:20:55,2015-02-27 04:52:59,49,OYQFFVVWKKPJQ,Ads,IE,F,39,283091929.431094
124866,249764,2015-05-17 04:23:38,2015-05-30 07:42:56,97,OUGYAYACEKNYK,Direct,Chrome,M,28,3192999681.99533
11250,248853,2015-08-10 22:31:41,2015-11-24 13:37:12,79,ZUGTINMGHSKWK,SEO,Chrome,M,28,4086523500.58047
90936,18990,2015-04-29 17:44:45,2015-06-10 00:16:48,54,AUEYBPVWTWAGZ,Ads,FireFox,F,35,3867748698.05796
148384,283657,2015-07-18 14:44:31,2015-10-02 22:25:30,44,OUMEWDEFOFKVO,Direct,IE,F,35,3874416096.27774
125317,386609,2015-03-06 22:08:41,2015-07-02 13:31:43,28,OKHCPOTWKXZOM,SEO,Safari,M,46,2460418020.29702
3576,28651,2015-08-10 16:27:06,2015-08-28 01:40:31,65,TQKPUOPYYAZDW,Direct,FireFox,M,45,2817733465.74017
94168,204762,2015-04-23 09:56:49,2015-05-21 01:42:16,46,RKDAHLRWKLGSH,SEO,Safari,M,24,64190931.8926723
9273,381811,2015-04-21 23:29:09,2015-05-21 15:32:17,30,FQYBLUQYBKBAJ,Ads,Chrome,F,35,107913484.884261
142726,305082,2015-08-18 00:24:56,2015-09-16 01:38:38,29,CALMGRQWYPYSE,SEO,Chrome,M,29,3245714908.3543
41805,294799,2015-05-11 18:50:43,2015-08-02 19:01:32,60,OKCVDQJMCLUOT,Ads,Chrome,F,30,3795598662.1475
138199,225352,2015-03-23 16:56:24,2015-04-25 03:44:01,48,BOERDXVOLEDOW,Ads,Chrome,M,26,758165769.8851348
95323,369787,2015-03-22 02:15:21,2015-06-25 01:15:50,36,WVYXMXRNIRVZH,Direct,Chrome,F,28,979824826.1266893
125434,233131,2015-07-06 17:18:37,2015-10-13 08:05:05,14,TALXZDIPSKGGZ,Ads,Safari,F,22,1227895818.78046
72669,164374,2015-03-11 00:44:59,2015-05-10 07:00:23,35,LCGCIIJWRHDJW,Ads,IE,M,25,1016812339.73594
136744,394085,2015-01-31 14:58:38,2015-04-21 05:58:03,14,WLCWZOWCUSYJN,Direct,IE,M,21,2338634615.50785
109217,12050,2015-01-08 08:45:23,2015-01-08 08:45:24,10,SUEKLSZWLASFR,Ads,Safari,M,24,1886527625.4665802
97536,248216,2015-03-13 07:44:56,2015-05-29 10:16:49,19,MTWLRZRMOTKVN,Ads,Chrome,M,31,1207422274.98271
54827,292115,2015-01-24 08:14:41,2015-04-16 04:01:16,23,ICQUSDZSBAYGL,SEO,Chrome,M,39,2603575933.0836897
2416,144287,2015-04-10 06:33:58,2015-07-25 16:44:23,57,SNYACNEMRTVAG,Ads,Chrome,F,31,2344965014.62772
20916,14538,2015-02-07 09:36:57,2015-05-19 19:21:13,37,RQMRUYJHMUJJU,Ads,IE,F,47,139782286.691764
102529,224274,2015-08-05 20:55:25,2015-10-25 02:36:35,34,YXBNKWJDEHGQH,Ads,IE,F,30,37512241.3887272
88999,391005,2015-03-03 02:11:03,2015-03-06 08:56:36,26,HVPWSUOEOZMKO,SEO,Chrome,M,32,2997953401.19094
23441,186351,2015-05-05 21:48:56,2015-07-13 19:44:54,27,BFBOPGNSVJLMK,Ads,FireFox,M,29,842257246.653017
105715,93170,2015-06-09 09:11:35,2015-09-04 16:21:12,42,LORWBEUXNPIMZ,Ads,Chrome,M,20,1469164864.94174
40596,16979,2015-03-30 07:11:29,2015-07-13 11:08:56,19,YWGOKJIHQFNYY,Direct,Safari,M,35,1180994540.1480699
58751,122333,2015-05-27 07:32:03,2015-07-12 00:45:59,9,IBLZZKKBLLHVW,SEO,Chrome,M,36,1859170012.9229894
143763,297394,2015-04-07 17:04:36,2015-07-21 07:18:28,16,AXQCIASELSIZD,Direct,Chrome,M,37,1053077266.8809301
39773,359039,2015-04-22 12:53:01,2015-08-18 15:49:20,66,RSEQOVNDUXBDU,Ads,FireFox,F,26,2644479993.5155
5210,22610,2015-02-10 20:52:19,2015-05-12 07:51:45,40,VOLHFGMCKYHAQ,Direct,Safari,F,38,739363976.344535
121809,331227,2015-01-09 01:27:26,2015-02-23 15:25:19,20,NHMLSUZNPKZWQ,Direct,Chrome,F,19,2737696715.57613
123402,357091,2015-04-18 00:43:15,2015-04-29 16:26:07,18,YUJTQBJRGBDBS,Ads,Chrome,M,26,1783205389.12288
99997,217303,2015-07-06 00:40:36,2015-10-01 22:34:24,33,QHTUKRRZIXNWQ,Direct,Safari,M,29,4020438193.8983693
117899,381130,2015-06-14 07:42:59,2015-07-18 20:56:58,30,SHKDIHDOZUKEG,Ads,Chrome,F,42,2760433680.98395
112983,20676,2015-01-05 02:59:46,2015-04-09 13:40:42,56,QHHSDZTSRNPYZ,Direct,Chrome,M,34,1296302889.18828
14420,106032,2015-03-24 06:01:36,2015-06-16 04:52:33,30,ZLTKSVSHKGCWJ,Ads,IE,M,27,2037650130.3545802
62406,224861,2015-05-16 15:35:05,2015-05-31 05:25:03,27,ILXFRMZOIJCZK,SEO,Chrome,F,41,2391603961.75094
15901,83130,2015-06-17 04:45:34,2015-09-03 22:08:47,36,YXUIOUANFLLID,Ads,IE,F,30,1578610766.0973198
121751,385403,2015-05-19 12:05:16,2015-08-14 19:47:56,40,RYPLLLZEKIKGL,SEO,FireFox,F,38,3556363375.93011
127651,81617,2015-04-03 15:25:38,2015-05-23 15:15:36,25,PXUUVQVXQKFMG,Direct,Safari,M,25,2729978694.8658104
2817,296650,2015-03-24 15:55:30,2015-06-15 16:05:07,12,VUEPERZQCESLL,SEO,Chrome,F,49,4105069863.0297103
148329,40691,2015-04-13 18:09:51,2015-04-28 19:37:05,19,JWMFLOOEYAMDP,SEO,IE,F,24,842079156.273337
114757,338466,2015-02-08 01:37:58,2015-04-25 12:36:28,11,ITDIBZZBETJSF,Ads,Safari,F,39,3612410310.4101295
129968,211936,2015-03-22 08:06:43,2015-05-08 06:56:41,10,QLDQAMTRVQAXL,Direct,Chrome,F,27,1561505102.4959302
41238,119158,2015-04-13 02:16:23,2015-04-18 12:04:50,20,NXBPQDSCBNOYQ,Ads,Chrome,F,19,2457770140.24057
38141,328144,2015-07-24 23:36:53,2015-10-02 20:28:47,43,QTPTUYMLIMJBJ,Direct,IE,M,29,1832442958.00605
83058,399481,2015-06-29 21:01:30,2015-08-10 06:49:18,40,WBBAHIPVCBOOQ,SEO,Chrome,F,40,3228466515.93709
61502,269621,2015-04-01 21:07:27,2015-04-27 23:21:05,89,ZLJYJVKPSKFAO,SEO,IE,F,25,3925496961.13543
